WKT,POINT_ID
"POINT (2747998.96088404 1828001.23419782)","27481828"
"POINT (2747999.60445952 1839999.71630323)","27481840"
"POINT (2748001.16530021 1893999.61018737)","27481894"
"POINT (2748000.18141821 1971998.1328673)","27481972"
"POINT (2747999.39840178 2127999.17503883)","27482128"
"POINT (2750001.92102153 1780012.91685887)","27501780"
"POINT (2750004.86850144 1802002.11131521)","27501802"
"POINT (2750001.07273829 1891996.35923801)","27501892"
"POINT (2751999.67727293 1861999.58653427)","27521862"
"POINT (2751999.30596732 1880000.96937602)","27521880"
"POINT (2751999.94020015 2041998.87172631)","27522042"
"POINT (2752000.70248438 2096001.22755983)","27522096"
"POINT (2751999.80576793 2114000.79829931)","27522114"
"POINT (2754005.80397212 1756009.48196999)","27541756"
"POINT (2753998.83983831 1791998.89712989)","27541792"
"POINT (2753999.66275501 1810000.87401139)","27541810"
"POINT (2753999.80076899 1828000.96317495)","27541828"
"POINT (2754002.69382153 1930000.7191642)","27541930"
"POINT (2754000.79015514 2109999.40995455)","27542110"
"POINT (2755998.56019624 1764001.01393819)","27561764"
"POINT (2755998.77257151 1812000.77209309)","27561812"
"POINT (2755998.13140335 1861996.73125488)","27561862"
"POINT (2755999.83617804 1919998.90898485)","27561920"
"POINT (2755999.60824368 1952000.65388584)","27561952"
"POINT (2755998.81732804 1980000.58324617)","27561980"
"POINT (2756002.01648423 1988002.84229774)","27561988"
"POINT (2755998.32927432 2046001.73068699)","27562046"
"POINT (2755999.43177843 2118001.57924398)","27562118"
"POINT (2756000.90838451 2136000.54981304)","27562136"
"POINT (2759995.99840402 1758004.21538661)","27601758"
"POINT (2759997.65171214 1790001.20399731)","27601790"
"POINT (2759999.14806639 1794006.76486453)","27601794"
"POINT (2759999.48963756 1844001.95448461)","27601844"
"POINT (2760000.31376054 1942001.64142242)","27601942"
"POINT (2760000.23090125 2032000.04484478)","27602032"
"POINT (2759998.36262326 2150000.89561491)","27602150"
"POINT (2762000.23440358 1935999.3935993)","27621936"
"POINT (2762000.54079926 2062000.43317007)","27622062"
"POINT (2763999.08998406 1751998.37291516)","27641752"
"POINT (2764000.75211167 1832000.47630244)","27641832"
"POINT (2763998.89991686 1877998.88243123)","27641878"
"POINT (2764000.73678689 1896000.32043526)","27641896"
"POINT (2764000.80115537 1913998.92492325)","27641914"
"POINT (2764001.59212869 2102000.56619066)","27642102"
"POINT (2764001.72205962 2156000.58241753)","27642156"
"POINT (2766003.23307303 1791997.06972662)","27661792"
"POINT (2765998.39446773 1881992.78287642)","27661882"
"POINT (2765999.19334228 2019999.80772362)","27662020"
"POINT (2768001.32106805 1762000.11132622)","27681762"
"POINT (2768000.84623024 1924000.30317184)","27681924"
"POINT (2768001.58917681 1945999.75855965)","27681946"
"POINT (2768000.71859212 2000000.7021338)","27682000"
"POINT (2767991.80780203 2211948.21008114)","27682212"
"POINT (2770001.19241371 1754000.06553863)","27701754"
"POINT (2769999.93224403 1848000.57292152)","27701848"
"POINT (2770006.82869299 2222017.31982661)","27702222"
"POINT (2772000.84176947 1828000.21768962)","27721828"
"POINT (2772000.14419236 2026000.66152283)","27722026"
"POINT (2772004.87651036 2055997.91115305)","27722056"
"POINT (2771999.69595269 2080000.40475462)","27722080"
"POINT (2771998.37968501 2128000.28986239)","27722128"
"POINT (2771994.21276993 2227989.5155123)","27722228"
"POINT (2772000.05641389 2242001.53793959)","27722242"
"POINT (2774001.03019924 1829998.77125996)","27741830"
"POINT (2773998.90713958 1866001.8713595)","27741866"
"POINT (2773999.52123877 1890000.31143414)","27741890"
"POINT (2773999.91635149 1908000.13949477)","27741908"
"POINT (2774006.43377627 2231995.52495878)","27742232"
"POINT (2773999.75704034 2275998.88183895)","27742276"
"POINT (2773999.33872135 2358001.83515354)","27742358"
"POINT (2773999.98629942 2393999.17831931)","27742394"
"POINT (2774003.63169994 2406001.50744304)","27742406"
"POINT (2776000.2723028 2200000.81084692)","27762200"
"POINT (2776003.74000509 2242003.55678982)","27762242"
"POINT (2776002.04572163 2290001.67629908)","27762290"
"POINT (2777998.28328976 1794000.7920825)","27781794"
"POINT (2777998.90284985 1811999.65128023)","27781812"
"POINT (2778000.67709965 1883999.76691915)","27781884"
"POINT (2778002.17258891 1901993.2544422)","27781902"
"POINT (2778000.21864912 1996000.80249014)","27781996"
"POINT (2778001.38676658 2149999.82488456)","27782150"
"POINT (2777999.49729643 2157999.44552669)","27782158"
"POINT (2778001.35641406 2168001.2746967)","27782168"
"POINT (2777999.2624997 2283998.8112392)","27782284"
"POINT (2777948.25072266 2387977.09281458)","27782388"
"POINT (2779999.68110655 1809998.44083203)","27801810"
"POINT (2779997.87187707 2116001.19804902)","27802116"
"POINT (2780000.35137873 2187998.89069815)","27802188"
"POINT (2779998.84190654 2241998.79210146)","27802242"
"POINT (2781999.1704814 1832000.21339946)","27821832"
"POINT (2782000.21996166 1838000.61485838)","27821838"
"POINT (2781999.6850628 1842001.97822154)","27821842"
"POINT (2781999.94374948 1885999.40078506)","27821886"
"POINT (2781999.64052093 1932000.03834405)","27821932"
"POINT (2781999.71346973 1981999.60506078)","27821982"
"POINT (2781997.99767186 2210001.42539008)","27822210"
"POINT (2784000.44990646 1821999.68249077)","27841822"
"POINT (2784000.13889154 1840001.15929659)","27841840"
"POINT (2783999.57163783 1900000.48009197)","27841900"
"POINT (2784000.54262707 2205997.63782588)","27842206"
"POINT (2784000.93503117 2308004.33265599)","27842308"
"POINT (2784000.6525348 2393999.50138219)","27842394"
"POINT (2783999.40401535 2416000.50010635)","27842416"
"POINT (2786001.61263677 2032003.48236661)","27862032"
"POINT (2785999.67411762 2072000.56826625)","27862072"
"POINT (2788000.85700329 1757999.83444876)","27881758"
"POINT (2788000.39784463 1847999.65826003)","27881848"
"POINT (2788000.04695958 1902001.2864554)","27881902"
"POINT (2787998.73785922 1933999.64694749)","27881934"
"POINT (2787999.40840158 1938001.19602303)","27881938"
"POINT (2787999.56277955 2009997.69029442)","27882010"
"POINT (2788000.3207118 2225999.96417905)","27882226"
"POINT (2788004.4232097 2297998.50316959)","27882298"
"POINT (2788000.11992859 2370001.0764059)","27882370"
"POINT (2788002.68272812 2383997.44640384)","27882384"
"POINT (2787999.18133105 2423998.34655563)","27882424"
"POINT (2790000.34042937 1821998.37799067)","27901822"
"POINT (2789999.0834134 1900000.67815736)","27901900"
