X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-1.062003366,40.734192479,"33862028","30","37","13","50",7.60,8.06,16.64,15.70,"255",14.10,1.80,144.50,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.112875193,41.020145105,"33862060","66","12","59","29",5.90,6.17,30.60,15.10,"1",0.00,1.70,121.60,D20,U420,ES,ES2,ES24,ES242,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
-1.236279491,41.698792309,"33862136",,,,,7.50,8.11,16.34,18.80,"230",11.00,1.50,184.50,D20,U420,ES,ES2,ES24,ES243,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
-1.276022644,41.912960358,"33862160",,,,,7.30,7.87,31.40,17.80,"326",95.70,2.20,202.20,B52,U111,ES,ES2,ES24,ES243,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
-1.31950617,42.144899939,"33862186",,,,,7.70,7.94,25.00,14.10,"396",33.60,1.60,168.80,B16,U111,ES,ES2,ES24,ES243,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-1.326235878,42.180575988,"33862190",,,,,7.50,7.67,45.00,24.50,"381",12.70,2.70,139.80,B11,U111,ES,ES2,ES24,ES243,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-1.397549205,42.555063128,"33862232",,,,,7.30,8.01,12.89,7.10,"454",10.30,1.00,209.70,B12,U111,ES,ES2,ES22,ES220,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
-1.41126889,42.626371063,"33862240",,,,,6.80,7.20,19.20,13.90,"2",14.50,1.50,149.50,F40,U112,ES,ES2,ES22,ES220,Bareland,Other bare soil,Fallow land
-3.39341328,50.957542321,"33863180",,,,,4.40,4.54,125.80,51.00,"0",78.70,6.10,153.50,E20,U111,UK,UKK,UKK4,UKK43,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-3.695822833,51.961851283,"33863294",,,,,3.70,4.63,66.30,213.90,"0",105.60,14.40,175.10,E20,U111,UK,UKL,UKL2,UKL24,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-4.692139282,54.914337489,"33863630",,,,,4.00,4.84,49.10,237.90,"0",67.50,17.90,202.40,H12,U420,UK,UKM,UKM9,UKM92,Wetlands,Peatbogs,Semi-natural and natural areas not in use
-0.896115513,39.913976622,"33881936","49","24","30","45",7.40,7.81,17.10,23.40,"643",8.20,2.50,242.30,C23,U420,ES,ES2,ES24,ES242,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
-0.929732333,40.110839067,"33881958","36","30","16","53",7.60,7.95,19.89,25.90,"247",4.50,2.70,282.20,C23,U420,ES,ES2,ES24,ES242,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
-0.951273587,40.236084054,"33881972","51","36","28","36",7.60,8.00,19.32,14.50,"267",18.00,1.70,247.60,E30,U111,ES,ES2,ES24,ES242,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
-0.979141058,40.397077949,"33881990","49","14","51","36",7.20,7.54,16.58,22.70,"135",0.00,2.70,171.30,C23,U420,ES,ES2,ES24,ES242,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
-1.035461941,40.718947142,"33882026","23","30","32","38",7.60,8.05,18.30,9.10,"470",18.80,1.30,144.80,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
